static_value, emu,abcd_h2i
,irn,dwc:recordNumber
,DarGlobalUniqueIdentifier,dwc:occurrenceID
,CatAccessionYearLocal,cd_temporalCoverageStartDate
accession year,,cd:temporalCoverageType
,DarCatalogNumberNumeric,dwc:catalogNumber
,PriAccessionNumberRef.AccAccessionNo,cd:identifier(1)
accession number,,cd:identifierType(1)
,DarCatalogNumber,cd:identifier(2)
objectID,,cd:identifierType(2)
,CatOtherNumbersValue_tab(1),cd:identifier(3)
,CatOtherNumbersType_tab(1),cd:identifierType(3)
,DesKDescription0(1), h2i:culturalArtefactDescription(1)
,DesKType_tab(1),fmnh:culturalArtefactDescriptionType(1)
,DesUseClassification_tab(1),h2i:culturalArtefactFunction(1)
,EcbPartsUsed_tab(1),h2i:culturalArtefactParts(1)
,DesEthnicGroupSubgroup_tab(1),cd:culturalAffliation(1)
,AttPeriod_tab(1),cd:period(1)
,DesMaterials_tab(1),cd:materials(1)
,ColCollectionEventRef.ColSiteRef.PolContinent,dwc:continent
,ColCollectionEventRef.ColSiteRef.PolPD1,dwc:country
,ColCollectionEventRef.ColSiteRef.PolPD2,dwc:stateProvince
,ColCollectionEventRef.ColSiteRef.PolPD3,dwc:county
,ColCollectionEventRef.ColSiteRef.PolPopn,cd:municipality
,DarLocality,dwc:locality
,CatItemsCat,cd:measurementValue(1)
anthropology original inventory count,,cd:measurementType(1)
FMNH Metric,,cd:measurementMethod(1)
,CatItemsInv,cd:measurementValue(2)
anthropology current inventory count,,cd:measurementType(2)
FMNH Metric,,cd:measurementMethod(2)
,DesObjectName_tab(1),h2i:culteralArtefactSimpleName(1)
,DesObjectType_tab,fmnh:culteralArtefactSimpleNameType(1)
,DarCollector,dwc:recordedBy




